Method	ComboName	optionID	MergedFPR	optionTPR	cutoff	FPR	TPR	M6APeakModel	TPRmFPR	maxTPRmFPR	Mode
exomePeak	Combo17	mean_Ex_bin100_P1	0.01	0.14	7.49	0.01	0	NEB	-0.01	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.01	0.01	13.87	0.01	0	NEB	-0.01	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.01	0.14	8.11	0.01	0	NEB	-0.01	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.01	0.01	14.49	0.01	0	NEB	-0.01	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.01	0.14	5.65	0.01	0	NEB	-0.01	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.01	0.12	8.16	0.01	0	NEB	-0.01	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.01	0.28	3.52	0.01	0	NEB	-0.01	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.01	0.01	6.28	0.01	0	NEB	-0.01	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.02	0.26	4.72	0.02	0.44	NEB	0.42	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.02	0.2	4.8	0.02	0.44	NEB	0.42	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.02	0.35	4.09	0.02	0.44	NEB	0.42	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.02	0.3	3.48	0.02	0.44	NEB	0.42	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.02	0.33	2.85	0.02	0.44	NEB	0.42	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.02	0.22	5.28	0.02	0.44	NEB	0.42	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.02	0.38	2.59	0.02	0.44	NEB	0.42	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.02	0.03	3.73	0.02	0.44	NEB	0.42	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.03	0.34	3.41	0.03	0.52	NEB	0.49	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.03	0.34	3.09	0.03	0.52	NEB	0.49	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.03	0.42	3.19	0.03	0.52	NEB	0.49	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.03	0.3	3.48	0.03	0.52	NEB	0.49	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.03	0.41	2.29	0.03	0.52	NEB	0.49	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.03	0.26	4.36	0.03	0.52	NEB	0.49	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.03	0.44	2.2	0.03	0.52	NEB	0.49	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.03	0.04	3.1	0.03	0.52	NEB	0.49	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.04	0.36	3.11	0.04	0.55	NEB	0.51	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.04	0.34	3.09	0.04	0.55	NEB	0.51	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.04	0.42	3.19	0.04	0.55	NEB	0.51	0.58	
